"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","min_index_granularity_bytes","1024",0,"Minimum amount of bytes in single granule.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","merge_with_ttl_timeout","14400",0,"Minimal time in seconds, when merge with delete TTL can be repeated.",\N,\N,0,"Int64",0
"24.3.12.76.altinitystable","merge_with_recompression_ttl_timeout","14400",0,"Minimal time in seconds, when merge with recompression TTL can be repeated.",\N,\N,0,"Int64",0
"24.3.12.76.altinitystable","ttl_only_drop_parts","0",0,"Only drop altogether the expired parts and not partially prune them.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","materialize_ttl_recalculate_only","0",0,"Only recalculate ttl info when MATERIALIZE TTL",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","enable_mixed_granularity_parts","1",0,"Enable parts with adaptive and non adaptive granularity",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","concurrent_part_removal_threshold","100",0,"Activate concurrent part removal (see 'max_part_removal_threads') only if the number of inactive data parts is at least this.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","zero_copy_concurrent_part_removal_max_split_times","5",0,"Max recursion depth for splitting independent Outdated parts ranges into smaller subranges (highly not recommended to change)",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","zero_copy_concurrent_part_removal_max_postpone_ratio","0.05",0,"Max percentage of top level parts to postpone removal in order to get smaller independent ranges (highly not recommended to change)",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","storage_policy","default",0,"Name of storage disk policy",\N,\N,0,"String",0
"24.3.12.76.altinitystable","disk","",0,"Name of storage disk. Can be specified instead of storage policy.",\N,\N,0,"String",0
"24.3.12.76.altinitystable","allow_nullable_key","0",0,"Allow Nullable types as primary keys.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","remove_empty_parts","1",0,"Remove empty parts after they were pruned by TTL, mutation, or collapsing merge algorithm.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","assign_part_uuids","0",0,"Generate UUIDs for parts. Before enabling check that all replicas support new format.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","max_partitions_to_read","-1",0,"Limit the max number of partitions that can be accessed in one query. <= 0 means unlimited. This setting is the default that can be overridden by the query-level setting with the same name.",\N,\N,0,"Int64",0
"24.3.12.76.altinitystable","max_concurrent_queries","0",0,"Max number of concurrently executed queries related to the MergeTree table (0 - disabled). Queries will still be limited by other max_concurrent_queries settings.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_marks_to_honor_max_concurrent_queries","0",0,"Minimal number of marks to honor the MergeTree-level's max_concurrent_queries (0 - disabled). Queries will still be limited by other max_concurrent_queries settings.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_bytes_to_rebalance_partition_over_jbod","0",0,"Minimal amount of bytes to enable part rebalance over JBOD array (0 - disabled).",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","check_sample_column_is_correct","1",0,"Check columns or columns by hash for sampling are unsigned integer.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","allow_vertical_merges_from_compact_to_wide_parts","1",0,"Allows vertical merges from compact to wide parts. This settings must have the same value on all replicas",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","enable_the_endpoint_id_with_zookeeper_name_prefix","0",0,"Enable the endpoint id with zookeeper name prefix for the replicated merge tree table",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","zero_copy_merge_mutation_min_parts_size_sleep_before_lock","1073741824",0,"If zero copy replication is enabled sleep random amount of time before trying to lock depending on parts size for merge or mutation",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","allow_floating_point_partition_key","0",0,"Allow floating point as partition key",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","sleep_before_loading_outdated_parts_ms","0",0,"For testing. Do not change it.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","always_use_copy_instead_of_hardlinks","0",0,"Always copy data instead of hardlinking during mutations/replaces/detaches and so on.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","disable_freeze_partition_for_zero_copy_replication","1",0,"Disable FREEZE PARTITION query for zero copy replication.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","disable_detach_partition_for_zero_copy_replication","1",0,"Disable DETACH PARTITION query for zero copy replication.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","disable_fetch_partition_for_zero_copy_replication","1",0,"Disable FETCH PARTITION query for zero copy replication.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","part_moves_between_shards_enable","0",0,"Experimental/Incomplete feature to move parts between shards. Does not take into account sharding expressions.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","part_moves_between_shards_delay_seconds","30",0,"Time to wait before/after moving parts between shards.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","allow_remote_fs_zero_copy_replication","0",0,"Don't use this setting in production, because it is not ready.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","remote_fs_zero_copy_zookeeper_path","/clickhouse/zero_copy",0,"ZooKeeper path for zero-copy table-independent info.",\N,\N,0,"String",0
"24.3.12.76.altinitystable","remote_fs_zero_copy_path_compatible_mode","0",0,"Run zero-copy in compatible mode during conversion process.",\N,\N,0,"Bool",0
